,year,selling_price,km_driven,fuel,seller_type,transmission,owner,Manufacturer,Model,Variant
1156,2017,2400000,30000,Diesel,Individual,Automatic,First Owner,BMW,X1 sDrive 20d,xLine
1157,2014,620000,80000,Diesel,Dealer,Manual,First Owner,Mahindra,Scorpio SLE BS,IV
1158,2014,395000,52000,Petrol,Dealer,Manual,Second Owner,Maruti,Swift Dzire 1.2 Vxi,BSIV
1159,2014,635000,13250,Petrol,Dealer,Manual,First Owner,Maruti,Ertiga,ZXI
1160,2011,180000,36000,Petrol,Dealer,Manual,First Owner,Maruti,Alto,LX
1161,2015,484999,73000,Diesel,Dealer,Manual,Second Owner,Maruti,Swift ZDI,Plus
1162,2004,110000,60000,Petrol,Individual,Manual,First Owner,Maruti,Alto,LX
1163,2006,150000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI,BSIII
1164,2012,400000,110000,Diesel,Individual,Manual,First Owner,Chevrolet,Tavera Neo 2 LT L 9,Str
1165,2012,200000,70000,Diesel,Individual,Manual,Second Owner,Tata,Indica Vista Aura Plus 1.3,Quadrajet
1166,2013,302000,60000,Diesel,Individual,Manual,Second Owner,Renault,Duster 85PS Diesel RxL,Plus
1167,2011,215000,90000,Diesel,Individual,Manual,Fourth & Above Owner,Maruti,Swift Dzire Vdi,BSIV
1168,2004,155000,80000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI,BSIII
1169,2014,1000000,101000,Diesel,Individual,Manual,Second Owner,Toyota,Innova 2.5 G (Diesel) 8,Seater
1170,2018,550000,44000,Diesel,Individual,Manual,First Owner,Mahindra,Bolero Power Plus,SLX
1171,2006,200000,45000,Petrol,Individual,Manual,First Owner,Maruti,Swift 1.3,VXi
1172,2017,750000,120000,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio S2 7,Seater
1173,2005,90000,90000,Petrol,Individual,Manual,Second Owner,Maruti,Zen,LXI
1174,2007,80000,120000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R LXI,Minor
1175,2013,229999,13500,Petrol,Individual,Manual,First Owner,Hyundai,EON D Lite,Plus
1176,2017,350000,10000,Petrol,Individual,Manual,First Owner,Renault,KWID 1.0 RXT,Optional
1177,2015,325000,25000,Petrol,Individual,Manual,Third Owner,Hyundai,Grand i10,Magna
1178,2018,450000,8500,Petrol,Individual,Manual,First Owner,Tata,Tigor 1.2 Revotron,XT
1179,2012,250000,120000,Diesel,Individual,Manual,First Owner,Maruti,SX4 Celebration,Diesel
1180,2012,225000,120000,Diesel,Individual,Manual,First Owner,Volkswagen,Polo Diesel Comfortline,1.2L
1181,2009,150000,90246,Petrol,Individual,Manual,Third Owner,Maruti,Alto,LXi
1182,2008,110000,90000,Petrol,Individual,Manual,Second Owner,Maruti,Alto LX,BSIII
1183,2010,150000,40000,Petrol,Individual,Manual,Second Owner,Maruti,Alto LXi,BSIII
1184,2000,165000,60000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Gypsy King Hard,Top
1185,2017,610000,32000,Diesel,Individual,Manual,Second Owner,Renault,Duster 85PS Diesel,RxL
1186,2013,170000,60400,Diesel,Individual,Manual,First Owner,Tata,Manza Club Class Quadrajet90,VX
1187,2008,150000,70950,Diesel,Individual,Manual,Second Owner,Hyundai,Verna,CRDi
1189,2015,375000,72000,Diesel,Individual,Manual,First Owner,Hyundai,Xcent 1.1 CRDi,Base
1190,2013,390000,90000,Diesel,Individual,Manual,First Owner,Maruti,Swift,VDI
1191,2017,600000,10000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Active 1.2,S
1192,2014,204999,25000,Petrol,Individual,Manual,Second Owner,Maruti,Alto 800,LXI
1193,2009,270000,80000,Diesel,Individual,Manual,Second Owner,Hyundai,Verna,CRDi
1194,2017,375000,10000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10,Sportz
1195,2020,700000,1100,Petrol,Individual,Manual,First Owner,Maruti,Baleno,Zeta
1196,2017,455000,40000,Petrol,Individual,Manual,First Owner,Maruti,Swift VXI,Deca
1197,2017,375000,10000,Petrol,Individual,Manual,First Owner,Hyundai,i10 Sportz,1.1L
1198,2014,341000,31491,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10,Asta
1199,2014,200000,107143,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire,VDI
1200,2017,450000,15000,Petrol,Individual,Automatic,First Owner,Maruti,Ignis 1.2 AMT Delta,BSIV
1201,2012,170000,50000,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing GL,Plus
1202,2017,1900000,100000,Diesel,Individual,Manual,First Owner,Toyota,Innova Crysta 2.4 VX MT 8S,BSIV
1203,2016,500000,60000,Diesel,Individual,Manual,First Owner,Mahindra,Bolero Power Plus,LX
1204,2016,819999,85000,Diesel,Individual,Manual,First Owner,Maruti,Vitara Brezza ZDi,Plus
1205,2014,351000,40000,Petrol,Individual,Manual,Second Owner,Maruti,Swift 1.2,DLX
1206,2011,195000,80000,Petrol,Individual,Manual,Second Owner,Hyundai,i10 Magna 1.2 iTech,SE
1207,2008,250000,82000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire,VDi
1208,2008,120000,70000,Petrol,Individual,Manual,Second Owner,Maruti,Zen Estilo 1.1 VXI,BSIII
1209,2009,180000,70000,Petrol,Individual,Manual,Third Owner,Maruti,A-Star,Vxi
1210,2016,430000,20000,Diesel,Individual,Manual,First Owner,Mahindra,KUV 100 mFALCON D75,K6
1211,2012,75000,35000,Petrol,Individual,Manual,Second Owner,Tata,Nano Cx,BSIV
1212,2017,750000,80000,Diesel,Individual,Manual,First Owner,Mahindra,Xylo,D4
1213,2011,60000,40000,Petrol,Individual,Manual,First Owner,Tata,Nano,Lx
1214,2015,1500000,46412,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 VX (Diesel) 8,Seater
1215,2011,390000,150000,Diesel,Individual,Manual,Fourth & Above Owner,Mahindra,Bolero SLX 2WD,BSIII
1216,2016,630000,50000,Diesel,Individual,Manual,First Owner,Mahindra,TUV 300,T4
1217,2018,1085000,15000,Diesel,Individual,Manual,First Owner,Tata,Safari Storme VX Varicor,400
1218,2012,190000,60000,Petrol,Individual,Manual,Second Owner,Hyundai,i10 Magna 1.2 iTech,SE
1219,2018,550000,25000,Petrol,Individual,Automatic,First Owner,Maruti,Baleno Delta,Automatic
1220,2012,200000,90000,Petrol,Individual,Manual,Third Owner,Maruti,Alto 800,LXI
1221,2011,165000,60000,Petrol,Individual,Manual,First Owner,Chevrolet,Spark 1.0,LT
1222,2013,260000,65000,Diesel,Individual,Manual,First Owner,Ford,Figo Diesel Celebration,Edition
1223,2011,151000,40000,Petrol,Individual,Manual,First Owner,Maruti,Alto,LX
1224,2018,780000,50000,Diesel,Individual,Manual,First Owner,Maruti,Vitara Brezza,VDi
1225,2012,175000,80000,Diesel,Individual,Manual,Third Owner,Tata,Indica Vista Quadrajet,LX
1226,2010,170000,107500,Diesel,Dealer,Manual,First Owner,Tata,Indica Vista TDI,LS
1227,2013,210000,135000,Diesel,Dealer,Manual,Second Owner,Tata,Indica Vista TDI,LS
1228,2007,90000,43826,Petrol,Dealer,Manual,Second Owner,Maruti,Alto,LXi
1229,2016,535000,55838,Petrol,Dealer,Manual,First Owner,Hyundai,i20 Active S,Petrol
1230,2007,195000,112880,Diesel,Dealer,Manual,First Owner,Maruti,Swift VDI,BSIV
1231,2011,140000,90000,Diesel,Individual,Manual,Third Owner,Tata,Indica Vista Terra Quadrajet,1.3L
1232,2012,350000,40000,Petrol,Individual,Manual,First Owner,Nissan,Sunny,XL
1233,2013,425000,66000,Petrol,Individual,Manual,First Owner,Hyundai,Verna 1.6 SX VTVT,(O)
1234,2017,300000,30300,Petrol,Individual,Manual,First Owner,Renault,KWID 1.0 RXT,Optional
1235,2013,340000,85000,Diesel,Individual,Manual,Second Owner,Volkswagen,Vento Diesel Style Limited,Edition
1236,2009,250000,80659,Petrol,Dealer,Manual,First Owner,Maruti,Swift Dzire,VXi
1237,2008,170000,81324,Petrol,Dealer,Manual,First Owner,Chevrolet,Aveo 1.4,LS
1238,2013,315000,127884,Diesel,Dealer,Manual,First Owner,Honda,Amaze S,i-Dtech
1239,2015,200000,50000,Petrol,Individual,Manual,First Owner,Chevrolet,Beat,PS
1240,2016,300000,25000,Petrol,Individual,Manual,First Owner,Chevrolet,Beat,PS
1241,2015,300000,66755,Diesel,Dealer,Manual,First Owner,Honda,Amaze S,i-Dtech
1242,2013,380000,123084,Petrol,Dealer,Manual,First Owner,Honda,City,E
1243,2009,250000,806599,Petrol,Dealer,Manual,First Owner,Maruti,Swift VXI,BSIII
1244,2013,310000,95851,Diesel,Dealer,Manual,First Owner,Honda,Amaze S,i-Dtech
1245,2010,260000,50000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R VXI Minor,ABS
1246,2008,150000,50000,Petrol,Individual,Manual,Second Owner,Maruti,Omni BSIII 8-STR W/,IMMOBILISER
1247,2006,85000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Esteem Vxi -,BSIII
1248,2015,280000,15000,Petrol,Individual,Manual,Second Owner,Maruti,Alto 800,LXI
1249,2016,850000,40000,Diesel,Individual,Manual,First Owner,Mahindra,Xylo H4,ABS
1250,2017,375000,20000,Petrol,Individual,Manual,Second Owner,Datsun,GO Plus T Option,BSIV
1251,2006,125000,120000,Diesel,Individual,Manual,Third Owner,Hyundai,Elantra CRDi (Leather,Option)
1252,2012,250000,110000,Diesel,Individual,Manual,First Owner,Chevrolet,Beat Diesel,LT
1253,2014,715000,234000,Diesel,Individual,Manual,First Owner,Toyota,Corolla Altis D-4D,J
1254,2011,220000,70000,Diesel,Individual,Manual,First Owner,Hyundai,i20 1.4 CRDi,Era
1255,2010,110000,110000,Diesel,Individual,Manual,Second Owner,Tata,Indica Vista Aqua 1.3,Quadrajet
1256,2007,150000,84000,Petrol,Individual,Manual,Second Owner,Hyundai,Verna XXi,(Petrol)
1257,2012,300000,170000,Diesel,Individual,Manual,First Owner,Nissan,Sunny Diesel,XV
1258,2017,220000,40000,Petrol,Individual,Manual,First Owner,Datsun,RediGO T,Option
1259,2006,75000,96000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R,LX
1260,2009,100000,20000,Diesel,Individual,Manual,First Owner,Tata,Indigo,LS
1261,2016,380000,15000,Petrol,Individual,Manual,First Owner,Ford,Figo Aspire 1.2 Ti-VCT,Trend
1262,2007,100000,50000,Petrol,Individual,Manual,First Owner,Hyundai,Santro Xing XK,(Non-AC)
1263,2010,480000,80000,Petrol,Individual,Manual,Second Owner,Volkswagen,Passat 1.8 TSI,MT
1264,2012,300000,124000,Diesel,Individual,Manual,First Owner,Toyota,Etios,GD
1265,2013,190000,70000,Diesel,Individual,Manual,First Owner,Chevrolet,Beat Diesel,LS
1266,2012,190000,130000,Diesel,Individual,Manual,Second Owner,Ford,Figo Diesel,LXI
1267,2017,650000,19014,Petrol,Dealer,Manual,First Owner,Ford,EcoSport 1.5 Ti VCT MT Trend,BSIV
1268,2009,300000,23262,Petrol,Dealer,Manual,First Owner,Toyota,Corolla Executive,(HE)
1269,2016,700000,29600,Diesel,Dealer,Manual,First Owner,Ford,Freestyle Titanium Diesel,BSIV
1270,2015,310000,35925,Petrol,Dealer,Manual,First Owner,Hyundai,i10 Sportz,1.1L
1271,2018,500000,12000,Petrol,Individual,Manual,First Owner,Maruti,Ignis 1.2 Zeta,BSIV
1272,2013,415000,40771,Petrol,Dealer,Manual,First Owner,Toyota,Etios,V
1273,2015,395000,30500,Petrol,Dealer,Automatic,Second Owner,Maruti,Celerio VXI,AT
1274,2014,430000,42000,Petrol,Dealer,Manual,Second Owner,Toyota,Etios Liva 1.2,G
1275,2007,215000,55800,Petrol,Dealer,Manual,Second Owner,Toyota,Corolla,H6
1276,2014,550000,66569,Diesel,Dealer,Manual,First Owner,Renault,Duster RXL,AWD
1277,2014,415000,81358,Diesel,Dealer,Manual,First Owner,Volkswagen,Polo 1.5 TDI,Trendline
1278,2015,450000,82695,Diesel,Dealer,Manual,First Owner,Volkswagen,Polo 1.5 TDI,Comfortline
1279,2014,285000,68293,Diesel,Dealer,Manual,Second Owner,Ford,Figo Diesel,EXI
1280,2016,580000,32000,Petrol,Dealer,Automatic,First Owner,Honda,Jazz VX,CVT
1281,2014,300000,190621,Diesel,Dealer,Manual,First Owner,Maruti,Swift Dzire Tour,LDI
1282,2018,1200000,60000,Diesel,Individual,Manual,First Owner,Hyundai,Verna CRDi 1.6 SX,Option
1283,2006,78000,64700,Petrol,Individual,Manual,First Owner,Maruti,800 Std,MPFi
1285,2016,400000,88470,Diesel,Individual,Manual,First Owner,Tata,Zest Quadrajet 1.3 75PS,XE
1286,2016,850000,75000,Diesel,Individual,Manual,First Owner,Hyundai,Verna 1.6 CRDI SX,Option
1287,2013,450000,120000,Diesel,Individual,Manual,Second Owner,Volkswagen,Vento Diesel,Highline
1288,2012,2500000,35000,Diesel,Individual,Automatic,First Owner,Mercedes-Benz,E-Class E250 CDI Blue,Efficiency
1289,2017,780000,70000,Diesel,Individual,Manual,First Owner,Toyota,Etios 1.4,VXD
1290,2017,3200000,57000,Diesel,Individual,Automatic,First Owner,Toyota,Fortuner 2.8 2WD AT,BSIV
1291,2020,350000,1000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,VXI
1292,2013,285000,120000,Diesel,Individual,Manual,Second Owner,Mahindra,Quanto,C6
1293,2015,525000,98000,Diesel,Dealer,Manual,First Owner,Volkswagen,Vento 1.5 TDI,Highline
1294,2014,550000,90000,Diesel,Dealer,Manual,Second Owner,Maruti,Ciaz,ZDi
1295,2018,580000,70000,Diesel,Individual,Manual,First Owner,Volkswagen,Ameo 1.5 TDI,Comfortline
1296,2013,75000,25000,Petrol,Individual,Manual,Third Owner,Tata,Nano CX,SE
1297,2009,185000,60000,Diesel,Individual,Manual,Third Owner,Tata,Manza Aura,Quadrajet
1298,2007,110000,90000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Omni E 8 Str,STD
1299,2004,180000,200000,Petrol,Individual,Manual,Second Owner,Honda,City 1.5,EXI
1300,2010,350000,110000,Diesel,Individual,Manual,Second Owner,Volkswagen,Polo Diesel Comfortline,1.2L
1301,2005,60000,126000,Petrol,Individual,Manual,Second Owner,Chevrolet,Optra 1.6,LS
1302,2018,695000,70000,Diesel,Individual,Manual,First Owner,Mahindra,TUV 300,T10
1303,2019,2700000,5000,Diesel,Individual,Automatic,First Owner,Mahindra,Alturas G4 4X2 AT,BSIV
1304,2007,135000,74183,Petrol,Individual,Manual,Second Owner,Maruti,Zen Estilo LX,BSIII
1305,2015,640000,70000,Diesel,Individual,Manual,Second Owner,Mahindra,Bolero Power Plus Plus AC BSIV,PS
1306,2014,160000,90000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,VXI
1307,2004,80000,46000,Petrol,Individual,Manual,Second Owner,Tata,Indica,LXI
1308,2013,340000,110000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire,VDI
1309,2012,110000,80000,Diesel,Individual,Manual,Second Owner,Maruti,Ritz,VDi
1310,2013,250000,90000,Diesel,Individual,Manual,Second Owner,Tata,Sumo Gold,EX
1311,2017,1300000,70000,Diesel,Individual,Manual,First Owner,Toyota,Innova Crysta 2.4 VX MT,BSIV
1312,2014,250000,1,Diesel,Individual,Manual,Second Owner,Mahindra,Quanto,C6
1313,2009,450000,192000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 G (Diesel) 8 Seater BS,IV
1314,2013,240000,70000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Wagon R LX,Minor
1315,2007,225000,120000,Diesel,Individual,Manual,Second Owner,Mahindra,Bolero DI DX 7,Seater
1316,2015,275000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI,Optional
1317,2012,320000,120000,Diesel,Individual,Manual,Second Owner,Tata,Sumo Victa CX 7/9 Str,BSII
1318,2008,75000,120000,Petrol,Individual,Manual,First Owner,Maruti,Alto LX,BSIII
1319,2007,85000,50000,Petrol,Individual,Manual,Second Owner,Tata,Indica GLS BS,IV
1320,2009,90000,120000,Diesel,Individual,Manual,First Owner,Tata,Indica Vista Aqua TDI,BSIII
1321,2007,85000,80000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R LXI,Minor
1322,2008,350000,80000,Diesel,Individual,Manual,Second Owner,Mahindra,Scorpio,M2DI
1323,2009,355000,100000,Diesel,Individual,Automatic,Second Owner,Skoda,Superb Elegance 2.0 TDI CR,AT
1324,2020,619000,1500,Petrol,Individual,Manual,First Owner,Maruti,Swift,VXI
1325,2018,1700000,50000,Diesel,Individual,Manual,First Owner,Jeep,Compass 2.0 Longitude Option,BSIV
1326,2006,55000,100000,Diesel,Individual,Manual,Second Owner,Tata,Indica,DL
1327,2006,95000,83411,Petrol,Individual,Manual,First Owner,Ford,Fiesta 1.6 ZXi,Leather
1328,2011,300000,120000,Diesel,Individual,Manual,Second Owner,Volkswagen,Vento Diesel,Highline
1329,2006,81000,83411,Petrol,Individual,Manual,First Owner,Ford,Fiesta 1.6 ZXi,Leather
1330,2015,1000000,80000,Diesel,Individual,Automatic,Second Owner,Skoda,Superb Elegance 2.0 TDI CR,AT
1331,2019,925000,50000,Diesel,Individual,Manual,First Owner,Maruti,Ertiga,VDI
1332,2015,450000,40000,Diesel,Individual,Manual,First Owner,Mahindra,Bolero Power Plus Plus AC BSIV,PS
1333,2014,600000,13270,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio,EX
1334,2006,85000,100000,Petrol,Individual,Automatic,Third Owner,Hyundai,Santro Xing XL AT eRLX Euro,III
1335,2016,700000,50000,Diesel,Individual,Manual,First Owner,Mahindra,Thar DI 4X4,PS
1336,2017,486000,26500,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Magna,BSIV
1337,2013,400000,90000,Diesel,Individual,Manual,First Owner,Maruti,Swift,VDI
1338,2008,120000,100000,Petrol,Individual,Manual,Third Owner,Ford,Fiesta 1.4 Duratec,ZXI
1339,2018,275000,35000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,LXI
1340,2016,580000,57000,Diesel,Individual,Manual,First Owner,Hyundai,i20 Asta Option 1.4,CRDi
1341,2015,375000,70000,Petrol,Individual,Manual,First Owner,Maruti,Swift Dzire,LXI
1342,2015,229999,100000,Petrol,Individual,Manual,Third Owner,Maruti,Wagon R VXI BS IV with,ABS
1343,2010,110000,88000,Petrol,Individual,Manual,Second Owner,Maruti,Alto,LX
1344,2017,600000,60000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire,VDI
1345,2009,120000,76000,Petrol,Individual,Manual,Second Owner,Maruti,A-Star,Vxi
1346,2010,200000,100000,Diesel,Individual,Manual,Second Owner,Ford,Figo Diesel,Titanium
1347,2012,450000,110000,Diesel,Individual,Manual,Second Owner,Hyundai,Verna 1.6 SX CRDi,(O)
1348,2012,550000,80000,Diesel,Individual,Manual,Second Owner,Hyundai,Verna 1.6 SX CRDi,(O)
1349,2012,220000,80000,Petrol,Individual,Manual,Second Owner,Maruti,Alto,LX
1350,2001,40000,30000,Petrol,Individual,Manual,First Owner,Maruti,800,EX
1351,2017,300000,20000,Petrol,Individual,Automatic,First Owner,Renault,KWID Climber 1.0,AMT
1352,2018,630000,40000,Diesel,Individual,Manual,First Owner,Mahindra,Bolero Power Plus,SLE
1353,2017,610000,40000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire,VDI
1354,2019,660000,7000,Petrol,Individual,Manual,Second Owner,Hyundai,Xcent 1.2 VTVT,S
1355,2012,220000,80000,LPG,Individual,Manual,Second Owner,Maruti,Wagon R LXI LPG,BSIV
1356,2011,138000,90000,Diesel,Individual,Manual,Second Owner,Nissan,Micra Diesel XV,Premium
1357,2013,210000,13770,Diesel,Individual,Manual,First Owner,Nissan,Micra Diesel XV,Premium
1358,2005,125000,34000,Petrol,Dealer,Manual,First Owner,Maruti,Zen LXi - BS,III
1359,2008,125000,102000,Petrol,Dealer,Manual,First Owner,Maruti,Alto LXi,BSIII
1360,2014,725000,110000,Diesel,Individual,Manual,First Owner,Honda,City i DTEC,SV
1361,2011,170000,90000,Petrol,Individual,Manual,Second Owner,Maruti,Alto K10 2010-2014,VXI
1362,2015,1200000,70000,Diesel,Individual,Manual,Third Owner,Toyota,Innova 2.5 VX (Diesel) 7,Seater
1363,2003,70000,90000,Petrol,Individual,Manual,Second Owner,Maruti,Wagon R VXI,BSIII
1364,2007,100000,70000,Petrol,Individual,Manual,Second Owner,Maruti,Alto,LXi
1365,2006,300000,80000,Petrol,Individual,Manual,Second Owner,Honda,Civic 1.8 (E),MT
1366,2013,450000,100000,Diesel,Individual,Manual,Second Owner,Maruti,Swift,VDI
1367,2015,530000,100000,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire,VDI
1368,2007,100000,143000,Petrol,Individual,Manual,Third Owner,Maruti,Zen Estilo 1.1 LXI,BSIII
1369,2010,350000,115000,Petrol,Individual,Manual,Second Owner,Honda,City 1.5 V,MT
1370,2011,165000,100000,Diesel,Individual,Manual,Second Owner,Tata,Manza ELAN Quadrajet BS,IV
1371,2019,475000,120000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire,ZDI
1372,2013,350000,42000,Diesel,Individual,Manual,First Owner,Mahindra,Xylo E4 ABS BS,IV
1373,2016,229999,38000,Petrol,Individual,Manual,First Owner,Renault,KWID,RXL
1374,2018,800000,35000,Diesel,Individual,Manual,First Owner,Honda,WR-V i-DTEC,VX
1375,2014,475000,120000,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire,ZDI
1376,2014,425000,136906,Diesel,Individual,Manual,First Owner,Nissan,Terrano XL 110,PS
1377,2015,660000,97000,Diesel,Individual,Manual,Second Owner,Maruti,Ciaz VDi,Plus
1378,2019,610000,10000,Petrol,Individual,Automatic,First Owner,Honda,Amaze S CVT,Petrol
1379,2013,240000,50000,Petrol,Individual,Manual,Third Owner,Honda,Brio S,MT
1380,2005,70000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Esteem,Lxi
1381,2011,550000,120000,Diesel,Individual,Manual,First Owner,Toyota,Corolla Altis Diesel,D4DGL
1382,2010,100000,120000,Petrol,Individual,Manual,Second Owner,Tata,Indica Vista Aura 1.2,Safire
1383,2010,350000,90000,Diesel,Individual,Manual,Second Owner,Mahindra,Bolero,SLE
1384,2013,200000,120000,Petrol,Individual,Manual,First Owner,Hyundai,EON Era,Plus
1385,2019,720000,3000,Petrol,Individual,Automatic,First Owner,Hyundai,Elite i20 Asta Option CVT,BSIV
1386,2014,350000,133000,Diesel,Individual,Manual,First Owner,Maruti,Ritz,VDi
1387,2016,400000,25000,Petrol,Individual,Manual,First Owner,Maruti,Wagon R VXI BS,IV
1388,2017,570000,35000,Petrol,Individual,Manual,First Owner,Hyundai,i20 Active 1.2,S
1389,2015,130000,70000,Petrol,Individual,Manual,First Owner,Maruti,Omni MPI STD,BSIV
1390,2016,210000,52000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,LXI
1391,2018,800000,52000,Diesel,Individual,Manual,First Owner,Hyundai,Creta 1.4 E,Plus
1392,2017,700000,39000,Diesel,Individual,Manual,First Owner,Honda,Jazz 1.5 E i,DTEC
1393,2011,200000,28689,Diesel,Individual,Manual,First Owner,Tata,Indica Vista Quadrajet,VX
1394,2014,495000,90000,Diesel,Individual,Manual,Second Owner,Tata,Aria Pure LX,4x2
1395,2014,325000,80322,Diesel,Dealer,Manual,First Owner,Ford,Fiesta Classic 1.4 Duratorq,CLXI
1396,2019,650000,8000,Petrol,Individual,Manual,First Owner,Ford,Freestyle Trend Petrol,BSIV
1397,2000,155000,50000,Diesel,Individual,Manual,Second Owner,Mahindra,Jeep MM 775,XDB
1398,2007,75000,90000,Petrol,Individual,Manual,Second Owner,Maruti,800 AC,BSIII
1399,2015,350000,61658,Diesel,Dealer,Manual,First Owner,Hyundai,Grand i10 1.2 CRDi,Magna
1400,2010,90000,50000,Petrol,Individual,Manual,Third Owner,Maruti,Zen Estilo LX,BSIV
1401,2016,600000,80000,Diesel,Individual,Manual,First Owner,Maruti,Ertiga SHVS,VDI
1402,2010,400000,185000,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio SLE,BSIII
1403,2014,370000,57000,Diesel,Individual,Manual,Second Owner,Maruti,Swift VDI,BSIV
1404,2000,50000,60000,Petrol,Individual,Manual,First Owner,Maruti,800,DX
1405,2004,125000,120000,Petrol,Individual,Manual,Second Owner,Honda,City 1.5,GXI
1406,2018,1800000,26000,Diesel,Individual,Automatic,First Owner,Honda,CR-V Diesel,4WD
1407,2019,650000,20000,Petrol,Individual,Automatic,First Owner,Hyundai,Grand i10 1.2 Kappa Magna,AT
1408,2017,800000,30600,Petrol,Individual,Automatic,First Owner,Maruti,Ertiga BSIV VXI,AT
1409,2020,802000,5000,Petrol,Individual,Manual,First Owner,Volkswagen,Polo 1.0 TSI Highline,Plus
1410,2015,2300000,35000,Diesel,Individual,Automatic,Third Owner,Audi,A4 35 TDI,Premium
1411,2016,430000,35000,Diesel,Individual,Manual,First Owner,Hyundai,Xcent 1.1 CRDi,SX
1412,2017,650000,23000,Petrol,Individual,Manual,First Owner,Hyundai,Verna 1.6 SX,VTVT
1413,2004,170000,120000,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio 2.6 SLX Turbo 7,Seater
1414,2011,450000,235000,Diesel,Individual,Automatic,First Owner,Skoda,Superb Elegance 2.0 TDI CR,AT
1415,2013,250000,87000,Petrol,Individual,Manual,First Owner,Maruti,Alto 800,LXI
1416,2014,550000,72000,Petrol,Individual,Manual,Second Owner,Ford,Ecosport 1.0 Ecoboost,Titanium
1417,2013,2000000,64000,Diesel,Individual,Automatic,Second Owner,Jaguar,XF 3.0 Litre S Premium,Luxury
1418,2007,140000,100000,Petrol,Individual,Manual,Second Owner,Maruti,Zen Estilo VXI,BSIII
1419,2012,155000,12000,Petrol,Individual,Manual,First Owner,Chevrolet,Beat,LT
1420,2010,120000,67000,Petrol,Individual,Manual,Third Owner,Hyundai,Accent,Executive
1421,2012,287000,70000,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 E 8,STR
1422,2016,675000,60000,Diesel,Individual,Manual,First Owner,Maruti,Baleno Alpha,1.3
1423,2011,235000,74500,Petrol,Individual,Manual,Second Owner,Hyundai,i10 Magna 1.2 iTech,SE
1424,2011,300000,118700,Diesel,Individual,Manual,Second Owner,Hyundai,i20 1.4 CRDi,Asta
1425,2015,434999,40000,Petrol,Individual,Automatic,Second Owner,Nissan,Micra XL,CVT
1426,2004,225000,223660,Diesel,Individual,Automatic,Third Owner,Mahindra,Scorpio VLX AT 2WD,BSIII
1427,2006,160000,140000,Petrol,Individual,Manual,Second Owner,Toyota,Corolla,AE
1428,2020,600000,5000,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 Nios,Sportz
1429,2016,470000,100000,Diesel,Individual,Manual,Second Owner,Chevrolet,Tavera Neo 3 LT 9 Seats,BSIII
1430,2011,300000,100000,Petrol,Individual,Manual,Second Owner,Maruti,Swift Dzire,VXi
1431,2018,600000,2000,Petrol,Individual,Manual,First Owner,Maruti,Baleno Delta,1.2
1432,2020,640000,4000,Petrol,Individual,Automatic,First Owner,Hyundai,Grand i10 Nios AMT,Magna
1433,2006,50000,120000,Diesel,Individual,Manual,Fourth & Above Owner,Tata,Indica,DLS
1434,2015,600000,35000,Petrol,Individual,Manual,First Owner,Hyundai,Verna 1.6 VTVT,S
1435,2014,290000,29000,LPG,Individual,Manual,First Owner,Hyundai,i10 Magna,LPG
1436,2015,600000,30000,Petrol,Individual,Manual,First Owner,Hyundai,Verna 1.6 VTVT,S
